date,avg_gas_price,avg_gas_used
2025-12-07,1076803026.9602864,180998.8922366968
2025-12-08,1084894586.0731268,167308.4500089924
2025-12-09,1093946225.1672552,149155.073241044
2025-12-10,877608405.21539,135556.40973388974
2025-12-11,843593554.8710309,135202.92574255273
2025-12-12,832656314.3949327,148770.5200024954
2025-12-13,723334975.788582,170139.31719726993
2025-12-14,718966664.0564842,182903.70717594918
2025-12-15,833571132.9441406,140159.2366735533
2025-12-16,711669851.4766272,132801.745637909
2025-12-17,749307518.3238578,132906.321131632
2025-12-18,834906414.8076808,128035.55481949814
2025-12-19,754399044.8875417,128744.46271111752
2025-12-20,528959531.3786043,135371.7488606012
2025-12-21,511759541.39351237,141260.75752702905
2025-12-22,581421919.8299778,121915.4370552115
2025-12-23,562773451.8932517,113721.5547387196
2025-12-24,571729727.2352757,116213.17809919614
2025-12-25,532071851.0458426,138055.625837067
2025-12-26,591606456.5780373,125774.61432409908
2025-12-27,497419228.17713237,132770.4379793938
2025-12-28,528426416.30039763,134952.38667583468
2025-12-29,530622768.929148,97695.22938935431
2025-12-30,584539037.0139114,102185.27591512245
2025-12-31,550059939.7434369,102264.25268432754
2026-01-01,469673373.2081729,112737.09870155538
2026-01-02,590434626.9404243,109795.869009562
2026-01-03,461913161.8766951,108080.28761283577
2026-01-04,526530239.57754916,126626.67308309067
2026-01-05,695472308.5417542,104475.96300622766
