date,median_value,p95_value
2025-12-07,226743451.0,2.641846580506355e+18
2025-12-08,150247678.0,1.609902066746191e+17
2025-12-09,105613605.0,4.1205980618397645e+18
2025-12-10,78688644.0,6.12699449008294e+19
2025-12-11,60235591.0,2.689178e+20
2025-12-12,45984724.0,8.760031977773482e+19
2025-12-13,35944245.0,3.2544319608489424e+20
2025-12-14,25008516.0,1.801954225699258e+18
2025-12-15,21780823.0,1.8899664171554046e+21
2025-12-16,18400546.0,1.31289e+21
2025-12-17,15412735.0,1.4457097495157313e+21
2025-12-18,14357445.0,4.002538594421325e+21
2025-12-19,245000000.0,6.371045e+21
2025-12-20,12190065.0,1.999865e+22
2025-12-21,650000000.0,3.7178793565336796e+21
2025-12-22,10350000000.0,7.819783488e+21
2025-12-23,289109698.0,1.0075899633334711e+22
2025-12-24,118498336.0,1.0405e+22
2025-12-25,100000000.0,4.617350883936269e+21
2025-12-26,30000000.0,6.52159206765e+21
2025-12-27,7370.0,9.959317808518779e+21
2025-12-28,177000000.0,2.6950678e+22
2025-12-29,50000000.0,5.34095807357589e+21
2025-12-30,135841880.0,8.750539929985e+21
2025-12-31,80856170.0,6.044669164625e+21
2026-01-01,6700000.0,2.788031265591405e+21
2026-01-02,75871478.0,8.708763721833659e+21
2026-01-03,20000000.0,3.37704588054e+21
2026-01-04,50000000.0,4.249755395453525e+22
2026-01-05,314470000.0,1.8520103315019986e+22
